Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell line]	Provider	Material Type	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[compound]
DMSO-1	ERS3548927	SAMEA5745642	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	DMSO-1	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	DMSO-1	sequencing assay	ERX3430149	GCF251S-DMSO1_S38_R1_001.fastq.gz	GCF251S-DMSO1_S38_R1_001.fastq.gz	ERR3406503	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3406503/ERR3406503_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	dimethyl sulfoxide (0.1 percent)
DMSO-1	ERS3548927	SAMEA5745642	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	DMSO-1	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	DMSO-1	sequencing assay	ERX3430149	GCF251S-DMSO1_S38_R2_001.fastq.gz	GCF251S-DMSO1_S38_R2_001.fastq.gz	ERR3406503	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3406503/ERR3406503_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	dimethyl sulfoxide (0.1 percent)
DMSO-2	ERS3548928	SAMEA5745643	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	DMSO-2	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	DMSO-2	sequencing assay	ERX3430150	GCF251S-DMSO2_S41_R1_001.fastq.gz	GCF251S-DMSO2_S41_R1_001.fastq.gz	ERR3406504	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3406504/ERR3406504_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	dimethyl sulfoxide (0.1 percent)
DMSO-2	ERS3548928	SAMEA5745643	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	DMSO-2	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	DMSO-2	sequencing assay	ERX3430150	GCF251S-DMSO2_S41_R2_001.fastq.gz	GCF251S-DMSO2_S41_R2_001.fastq.gz	ERR3406504	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3406504/ERR3406504_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	dimethyl sulfoxide (0.1 percent)
DMSO-3	ERS3548929	SAMEA5745644	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	DMSO-3	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	DMSO-3	sequencing assay	ERX3430151	GCF251S-DMSO3_S44_R1_001.fastq.gz	GCF251S-DMSO3_S44_R1_001.fastq.gz	ERR3406505	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3406505/ERR3406505_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	dimethyl sulfoxide (0.1 percent)
DMSO-3	ERS3548929	SAMEA5745644	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	DMSO-3	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	DMSO-3	sequencing assay	ERX3430151	GCF251S-DMSO3_S44_R2_001.fastq.gz	GCF251S-DMSO3_S44_R2_001.fastq.gz	ERR3406505	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3406505/ERR3406505_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	dimethyl sulfoxide (0.1 percent)
G007LK-1	ERS3548930	SAMEA5745645	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	G007LK-1	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	G007LK-1	sequencing assay	ERX3430152	GCF251S-007-1_S47_R1_001.fastq.gz	GCF251S-007-1_S47_R1_001.fastq.gz	ERR3406506	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3406506/ERR3406506_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	G007LK (1 micromolar)
G007LK-1	ERS3548930	SAMEA5745645	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	G007LK-1	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	G007LK-1	sequencing assay	ERX3430152	GCF251S-007-1_S47_R2_001.fastq.gz	GCF251S-007-1_S47_R2_001.fastq.gz	ERR3406506	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3406506/ERR3406506_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	G007LK (1 micromolar)
G007LK-2	ERS3548931	SAMEA5745646	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	G007LK-2	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	G007LK-2	sequencing assay	ERX3430153	GCF251S-007-2_S27_R1_001.fastq.gz	GCF251S-007-2_S27_R1_001.fastq.gz	ERR3406507	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3406507/ERR3406507_1.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	G007LK (1 micromolar)
G007LK-2	ERS3548931	SAMEA5745646	Mus musculus	melanoma	skin	B16-F10 cell	American Type Culture Collection	cell	P-MTAB-87196	P-MTAB-87197	P-MTAB-87198	Genomics Core Facility Oslo University Hospital, Norway	G007LK-2	PAIRED	PolyA	TRANSCRIPTOMIC	RNA-Seq	140	53	P-MTAB-87199	Genomics Core Facility Oslo University Hospital, Norway	G007LK-2	sequencing assay	ERX3430153	GCF251S-007-2_S27_R2_001.fastq.gz	GCF251S-007-2_S27_R2_001.fastq.gz	ERR3406507	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3406507/ERR3406507_2.fastq.gz	P-MTAB-87200	Bioinformatics Core Facility Oslo University Hospital, Norway	mouse_sample_vs_gene_tpm_per_replicate_2018-11-05.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8101/E-MTAB-8101.processed.1.zip	G007LK (1 micromolar)
